,No,B.Mudurluk,I.Mudurluk,I.Seflik,Il,Ilce,Day,Month,Year,Time,AnaNeden,TaliNeden,YananOrtu,YananTepe,YananAlan,Sicaklik,Dogu,Kuzey,Lon,Lat
3439,3439,BOLU,ALADAG,BELKARAAGAC,Bolu,Merkez,19,4,2016,15:30,Kaza,Elektrik,0.05,0,0.05,30,31 30 12,40 38 53,31.50333333,40.64805556
3440,3440,BOLU,ALADAG,CAYDURT,Bolu,Merkez,23,7,2013,17:30,Mechul,Mechul,0.02,0,0.02,26,31 50 40,40 43 27,31.84444444,40.72416667
3441,3441,BOLU,ALADAG,CAYDURT,Bolu,Merkez,9,7,2017,15:00,Mechul,Mechul,2,0,2,0,32 16 15,41 16 15,32.27083333,41.27083333
3442,3442,BOLU,ALADAG,DEMIRCILER,Bolu,Merkez,4,7,2013,15:50,Ihmal Dikkatsizlik,Coban Atesi,0.02,0,0.02,27,31 40 05,40 44 13,31.66805556,40.73694444
3443,3443,BOLU,ALADAG,KOKEZ,Bolu,Merkez,23,7,2016,18:20,Mechul,Mechul,0.02,0,0.02,34,31 30 09,40 40 41,31.5025,40.67805556
3444,3444,BOLU,ALADAG,KOKEZ,Bolu,Merkez,7,11,2016,13:15,Mechul,Mechul,0.03,0,0.03,28,31 32 57,40 40 07,31.54916667,40.66861111
3445,3445,BOLU,BOLU,ABANT,Bolu,Merkez,19,7,2013,14:00,Ihmal Dikkatsizlik,Sigara,0.01,0,0.01,17,31 22 20,40 36 37,31.37222222,40.61027778
3446,3446,BOLU,BOLU,ABANT,Bolu,Merkez,16,8,2014,23:50,Mechul,Mechul,0.55,0,0.55,34,31 21 34,40 37 27,31.35944444,40.62416667
3447,3447,BOLU,BOLU,ABANT,Bolu,Merkez,12,9,2016,14:38,Dogal Yildirim,Dogal/Yildirim,0.3,0,0.3,35,31 19 39,40 38 10,31.3275,40.63611111
3448,3448,BOLU,BOLU,CELE,Bolu,Merkez,24,5,2013,14:30,Ihmal Dikkatsizlik,Copluk,0.02,0,0.02,30,31 48 46,40 51 53,31.81277778,40.86472222
3449,3449,BOLU,BOLU,CELE,Bolu,Merkez,28,6,2013,12:30,Ihmal Dikkatsizlik,Aniz,0.01,0,0.01,33,31 49 31,40 51 07,31.82527778,40.85194444
3450,3450,BOLU,BOLU,CELE,Bolu,Merkez,28,9,2013,14:30,Mechul,Mechul,0.05,0,0.05,0,31 44 53,40 47 48,31.74805556,40.79666667
3451,3451,BOLU,BOLU,CELE,Bolu,Merkez,28,9,2013,14:35,Mechul,Mechul,1,2,3,0,31 46 36,40 50 18,31.77666667,40.83833333
3452,3452,BOLU,BOLU,CELE,Bolu,Merkez,25,5,2015,12:00,Dogal Yildirim,Dogal/Yildirim,2,0,2,23,31 45 31,40 51 05,31.75861111,40.85138889
3453,3453,BOLU,BOLU,CELE,Bolu,Merkez,19,4,2016,17:25,Mechul,Mechul,0.04,0,0.04,25,31 47 39,40 50 49,31.79416667,40.84694444
3454,3454,BOLU,BOLU,CELE,Bolu,Merkez,22,4,2016,12:10,Mechul,Mechul,0.02,0,0.02,26,31 38 43,40 47 18,31.64527778,40.78833333
3455,3455,BOLU,BOLU,CELE,Bolu,Merkez,7,7,2017,14:15,Mechul,Mechul,0.02,0,0.02,27,31 42 05,40 48 34,31.70138889,40.80944444
3456,3456,BOLU,BOLU,SAZAKICI,Bolu,Merkez,20,8,2013,15:55,Mechul,Mechul,0.2,0,0.2,30,31 54 40,40 46 26,31.91111111,40.77388889
3457,3457,BOLU,BOLU,SAZAKICI,Bolu,Merkez,28,9,2013,12:45,Mechul,Mechul,2,2.5,4.5,0,31 52 34,40 46 56,31.87611111,40.78222222
3458,3458,BOLU,DUZCE,CUMAOVA,Duzce,Gumusova,4,5,2013,22:30,Ihmal Dikkatsizlik,Piknik Atesi,0.02,0,0.02,28,30 49 36,40 53 35,30.82666667,40.89305556
3459,3459,BOLU,DUZCE,CUMAOVA,Bolu,Merkez,5,5,2013,22:00,Ihmal Dikkatsizlik,-,0.66,0,0.66,28,30 49 47,40 54 10,30.82972222,40.90277778
3460,3460,BOLU,DUZCE,CUMAOVA,Duzce,Gumusova,22,3,2014,15:00,Ihmal Dikkatsizlik,Aniz,0.8,0,0.8,17,30 52 51,40 51 19,30.88083333,40.85527778
3461,3461,BOLU,DUZCE,DARIYERI,Duzce,Merkez,20,2,2014,12:30,Ihmal Dikkatsizlik,Aniz,2,0,2,18,31 18 55,40 47 18,31.31527778,40.78833333
3462,3462,BOLU,DUZCE,KONURALP,Duzce,Merkez,19,11,2013,12:00,Mechul,Mechul,2,0,2,20,35 54 59,45 36 57,35.91638889,45.61583333
3463,3463,BOLU,DUZCE,KONURALP,Duzce,Merkez,12,2,2014,12:00,Ihmal Dikkatsizlik,Aniz,0.1,0,0.1,18,34 55 56,45 30 34,34.93222222,45.50944444
3464,3464,BOLU,DUZCE,KONURALP,Duzce,Merkez,1,9,2015,14:40,Mechul,Mechul,3.14,0,3.14,32,31 12 51,40 52 11,31.21416667,40.86972222
3465,3465,BOLU,DUZCE,KONURALP,Duzce,Merkez,2,9,2015,13:45,Kaza,Elektrik,0,16,16,34,31 15 23,40 54 53,31.25638889,40.91472222
3466,3466,BOLU,DUZCE,KONURALP,Duzce,Merkez,2,9,2015,19:20,Mechul,Mechul,0,0,0,34,31 05 55,40 55 26,31.09861111,40.92388889
3467,3467,BOLU,DUZCE,KONURALP,Duzce,Merkez,14,9,2017,15:30,Mechul,Mechul,0.5,0.4,0.9,30,31 14 36,40 54 59,31.24333333,40.91638889
3468,3468,BOLU,DUZCE,MELEN,Duzce,Gumusova,23,6,2013,11:45,Ihmal Dikkatsizlik,Piknik Atesi,0,1.41,1.41,30,30 56 36,40 50 24,30.94333333,40.84
3469,3469,BOLU,DUZCE,MELEN,Duzce,Gumusova,22,8,2013,15:15,Ihmal Dikkatsizlik,Aniz,1.55,0.8,2.35,30,30 58 40,40 51 05,30.97777778,40.85138889
3470,3470,BOLU,DUZCE,MELEN,Duzce,Cilimli,7,3,2017,16:00,Ihmal Dikkatsizlik,Aniz,0.5,0,0.5,21,31 21 43,40 52 48,31.36194444,40.88
3471,3471,BOLU,GEREDE,AKTAS,Bolu,Gerede,14,9,2013,13:00,Ihmal Dikkatsizlik,Aniz,0.2,0,0.2,0,32 21 03,40 45 18,32.35083333,40.755
3472,3472,BOLU,GEREDE,AKTAS,Bolu,Gerede,20,9,2017,10:30,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,30,32 22 53,40 36 54,32.38138889,40.615
3473,3473,BOLU,GEREDE,AKTAS,Bolu,Gerede,20,9,2017,12:10,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,30,32 23 35,40 35 59,32.39305556,40.59972222
3474,3474,BOLU,GEREDE,ESENTEPE,Bolu,Gerede,15,8,2013,10:00,Mechul,Mechul,0.01,0,0.01,28,32 14 35,43 48 45,32.24305556,43.8125
3475,3475,BOLU,GEREDE,ESENTEPE,Bolu,Gerede,8,8,2016,14:00,Mechul,Mechul,0.05,0,0.05,26,32 11 54,40 48 26,32.19833333,40.80722222
3476,3476,BOLU,GEREDE,HASAT,Bolu,Gerede,23,12,2015,16:00,Mechul,Mechul,2,0,2,8,32 29 37,40 42 20,32.49361111,40.70555556
3477,3477,BOLU,GEREDE,HASAT,Bolu,Gerede,23,7,2016,13:30,Mechul,Mechul,1.5,0,1.5,26,32 21 19,40 47 45,32.35527778,40.79583333
3478,3478,BOLU,GEREDE,HASAT,Bolu,Gerede,22,8,2016,16:50,Dogal Yildirim,Dogal/Yildirim,1.5,0,1.5,36,32 28 48,40 41 52,32.48,40.69777778
3479,3479,BOLU,GEREDE,HASAT,Bolu,Gerede,26,11,2016,16:20,Mechul,Mechul,6,0,6,8,32 30 37,40 47 29,32.51027778,40.79138889
3480,3480,BOLU,GEREDE,SALUR,Bolu,Gerede,27,8,2013,13:30,Mechul,Mechul,0.01,0,0.01,0,32 11 37,40 29 57,32.19361111,40.49916667
3481,3481,BOLU,GEREDE,SALUR,Bolu,Gerede,6,8,2016,13:30,Ihmal Dikkatsizlik,Aniz,0,1.5,1.5,26,32 08 13,40 40 07,32.13694444,40.66861111
3482,3482,BOLU,GEREDE,SALUR,Bolu,Gerede,10,8,2016,13:00,Mechul,Mechul,0.2,0,0.2,35,32 14 40,40 39 15,32.24444444,40.65416667
3483,3483,BOLU,GEREDE,YENICAG,Bolu,Yenicaga,15,8,2013,14:40,Mechul,Mechul,4,0,4,30,31 57 05,40 49 10,31.95138889,40.81944444
3484,3484,BOLU,GOLYAKA,GOLYAKA,Duzce,Golyaka,11,11,2013,19:05,Mechul,Mechul,0.5,0,0.5,9,30 55 18,40 46 32,30.92166667,40.77555556
3485,3485,BOLU,GOLYAKA,GOLYAKA,Duzce,Golyaka,9,3,2016,15:35,Ihmal Dikkatsizlik,Aniz,0.16,0,0.16,17,30 53 24,40 45 18,30.89,40.755
3486,3486,BOLU,GOLYAKA,KARDUZ,Duzce,Golyaka,17,8,2015,21:50,Mechul,Mechul,0,0,0,14,30 58 10,40 39 59,30.96944444,40.66638889
3487,3487,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,6,6,2013,15:45,Dogal Yildirim,Dogal/Yildirim,0.05,0,0.05,26,30 53 59,40 19 30,30.89972222,40.325
3488,3488,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,28,6,2013,16:45,Ihmal Dikkatsizlik,Copluk,0.01,0,0.01,20,31 01 36,40 20 03,31.02666667,40.33416667
3489,3489,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,15,9,2013,13:45,Dogal Yildirim,Dogal/Yildirim,0.07,0,0.07,28,30 50 32,40 18 26,30.84222222,40.30722222
3490,3490,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,22,9,2013,18:50,Dogal Yildirim,Dogal/Yildirim,0.4,0.1,0.5,15,30 56 24,40 20 48,30.94,40.34666667
3491,3491,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,9,10,2013,13:30,Dogal Yildirim,Dogal/Yildirim,0.02,0,0.02,21,30 59 34,40 22 00,30.99277778,40.36666667
3492,3492,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,8,8,2014,15:30,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,30,30 51 33,40 17 18,30.85916667,40.28833333
3493,3493,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,2,6,2016,16:25,Dogal Yildirim,Dogal/Yildirim,0.7,0,0.7,31,30 57 20,40 21 56,30.95555556,40.36555556
3494,3494,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,15,7,2016,15:45,Kaza,Diger,0.5,0,0.5,34,30 50 40,40 20 30,30.84444444,40.34166667
3495,3495,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,18,7,2016,12:30,Kaza,Elektrik,0.5,0,0.5,27,30 53 09,40 19 10,30.88583333,40.31944444
3496,3496,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,20,11,2016,12:45,Dogal Yildirim,Dogal/Yildirim,0.3,0,0.3,13,30 50 40,40 22 11,30.84444444,40.36972222
3497,3497,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,10,8,2017,14:30,Dogal Yildirim,Dogal/Yildirim,4,0,4,28,31 04 51,40 22 40,31.08083333,40.37777778
3498,3498,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,2,9,2017,15:15,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,0,30 51 20,40 19 16,30.85555556,40.32111111
3499,3499,BOLU,GOYNUK,ALANCAYI,Bolu,Goynuk,13,10,2017,16:50,Kaza,Diger,1,0,1,0,30 59 46,40 21 24,30.99611111,40.35666667
3500,3500,BOLU,GOYNUK,GOYNUK,Bolu,Goynuk,31,5,2013,16:00,Ihmal Dikkatsizlik,Copluk,0.5,0,0.5,27,30 45 46,40 23 13,30.76277778,40.38694444
3501,3501,BOLU,GOYNUK,GOYNUK,Bolu,Goynuk,19,7,2013,16:20,Dogal Yildirim,Dogal/Yildirim,0.3,0.1,0.4,28,30 54 14,40 24 24,30.90388889,40.40666667
3502,3502,BOLU,GOYNUK,GOYNUK,Bolu,Goynuk,25,7,2013,17:00,Ihmal Dikkatsizlik,Aniz,0.5,0.5,1,31,30 48 43,40 25 26,30.81194444,40.42388889
3503,3503,BOLU,GOYNUK,GOYNUK,Bolu,Merkez,26,9,2013,11:50,Mechul,Mechul,0.03,0,0.03,26,30 47 58,40 26 27,30.79944444,40.44083333
3504,3504,BOLU,GOYNUK,GOYNUK,Bolu,Goynuk,2,4,2014,17:10,Mechul,Mechul,1,0,1,15,60 48 07,40 26 46,60.80194444,40.44611111
3505,3505,BOLU,GOYNUK,GOYNUK,Bolu,Goynuk,17,4,2014,12:15,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,18,30 49 43,40 24 29,30.82861111,40.40805556
3506,3506,BOLU,GOYNUK,GOYNUK,Bolu,Goynuk,11,11,2014,12:45,Dogal Yildirim,Dogal/Yildirim,0.5,0,0.5,14,30 47 01,40 29 05,30.78361111,40.48472222
3507,3507,BOLU,GOYNUK,GOYNUK,Bolu,Goynuk,9,9,2015,12:30,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,0,30 52 24,40 28 06,30.87333333,40.46833333
3508,3508,BOLU,GOYNUK,GURPINAR,Bolu,Goynuk,4,8,2013,17:15,Kaza,Elektrik,0.1,0,0.1,28,30 52 31,40 11 04,30.87527778,40.18444444
3509,3509,BOLU,GOYNUK,GURPINAR,Bolu,Goynuk,26,8,2013,13:45,Mechul,Mechul,1,29,30,32,31 01 47,40 17 10,31.02972222,40.28611111
3510,3510,BOLU,GOYNUK,GURPINAR,Bolu,Goynuk,6,4,2014,14:30,Mechul,Mechul,0.02,0,0.02,12,30 56 32,40 14 32,30.94222222,40.24222222
3511,3511,BOLU,GOYNUK,GURPINAR,Bolu,Goynuk,28,4,2014,13:20,Dogal Yildirim,Dogal/Yildirim,0.15,0,0.15,10,30 50 28,40 12 32,30.84111111,40.20888889
3512,3512,BOLU,GOYNUK,GURPINAR,Bolu,Goynuk,16,8,2015,13:00,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,29,31 00 08,40 17 29,31.00222222,40.29138889
3513,3513,BOLU,GOYNUK,GURPINAR,Bolu,Goynuk,22,7,2016,14:10,Mechul,Mechul,0.5,1,1.5,27,30 51 14,40 14 56,30.85388889,40.24888889
3514,3514,BOLU,GOYNUK,HACIMAHMUT,Bolu,Goynuk,6,8,2013,15:54,Mechul,Mechul,0.1,0,0.1,28,30 44 50,40 25 15,30.74722222,40.42083333
3515,3515,BOLU,GOYNUK,HACIMAHMUT,Bolu,Goynuk,24,4,2016,15:30,Dogal Yildirim,Dogal/Yildirim,0.5,0,0.5,21,30 38 24,40 25 26,30.64,40.42388889
3516,3516,BOLU,GOYNUK,HACIMAHMUT,Bolu,Goynuk,5,3,2017,14:00,Ihmal Dikkatsizlik,Copluk,2,0,2,14,30 39 24,40 22 53,30.65666667,40.38138889
3517,3517,BOLU,GOYNUK,HACIMAHMUT,Bolu,Goynuk,4,4,2017,14:30,Dogal Yildirim,Dogal/Yildirim,1,0,1,21,30 41 47,40 24 59,30.69638889,40.41638889
3518,3518,BOLU,GOYNUK,HACIMAHMUT,Bolu,Goynuk,3,9,2017,15:20,Ihmal Dikkatsizlik,Sigara,0,250,250,36,30 40 34,40 22 48,30.67611111,40.38
3519,3519,BOLU,GOYNUK,HACIMAHMUT,Bolu,Goynuk,8,9,2017,11:15,Kaza,Diger,0.05,0,0.05,32,30 40 54,40 24 37,30.68166667,40.41027778
3520,3520,BOLU,GOYNUK,HACIMAHMUT,Bolu,Goynuk,18,10,2017,15:25,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,20,30 40 47,40 26 31,30.67972222,40.44194444
3521,3521,BOLU,GOYNUK,ILICA,Bolu,Goynuk,19,6,2013,17:25,Dogal Yildirim,Dogal/Yildirim,0.05,0,0.05,28,30 40 14,40 19 30,30.67055556,40.325
3522,3522,BOLU,GOYNUK,ILICA,Bolu,Goynuk,24,7,2013,14:50,Mechul,Mechul,1.2,0,1.2,30,30 54 13,40 24 21,30.90361111,40.40583333
3523,3523,BOLU,GOYNUK,ILICA,Bolu,Goynuk,4,4,2014,17:00,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,18,30 41 17,40 19 02,30.68805556,40.31722222
3524,3524,BOLU,GOYNUK,ILICA,Bolu,Goynuk,26,5,2015,17:10,Dogal Yildirim,Dogal/Yildirim,0.03,0,0.03,0,30 48 28,40 17 29,30.80777778,40.29138889
3525,3525,BOLU,GOYNUK,ILICA,Bolu,Goynuk,30,7,2015,12:40,Mechul,Mechul,0.01,0,0.01,0,30 44 17,40 13 19,30.73805556,40.22194444
3526,3526,BOLU,GOYNUK,ILICA,Bolu,Goynuk,4,10,2015,14:30,Dogal Yildirim,Dogal/Yildirim,0.3,0,0.3,24,30 41 35,40 19 58,30.69305556,40.33277778
3527,3527,BOLU,GOYNUK,ILICA,Bolu,Goynuk,25,12,2015,18:30,Mechul,Mechul,1,0,1,0,31 33 28,44 57 39,31.55777778,44.96083333
3528,3528,BOLU,GOYNUK,ILICA,Bolu,Goynuk,26,7,2016,15:40,Ihmal Dikkatsizlik,Elektrik,0,0.01,0.01,18,30 53 17,40 19 09,30.88805556,40.31916667
3529,3529,BOLU,GOYNUK,ILICA,Bolu,Goynuk,7,10,2016,13:00,Ihmal Dikkatsizlik,Aniz,0.5,0,0.5,20,30 38 32,40 15 29,30.64222222,40.25805556
3530,3530,BOLU,GOYNUK,ILICA,Bolu,Goynuk,9,11,2016,16:05,Dogal Yildirim,Dogal/Yildirim,0.07,0,0.07,22,30 36 58,40 18 34,30.61611111,40.30944444
3531,3531,BOLU,GOYNUK,ILICA,Bolu,Goynuk,7,3,2017,16:00,Kaza,Elektrik,2,0,2,17,30 37 58,40 19 54,30.63277778,40.33166667
3532,3532,BOLU,GOYNUK,ILICA,Bolu,Goynuk,12,7,2017,15:45,Ihmal Dikkatsizlik,Aniz,0,9.2,9.2,28,30 43 10,40 16 10,30.71944444,40.26944444
3533,3533,BOLU,GOYNUK,ILICA,Bolu,Goynuk,16,7,2017,16:45,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,0,30 43 40,40 15 56,30.72777778,40.26555556
3534,3534,BOLU,GOYNUK,ILICA,Bolu,Goynuk,11,9,2017,15:30,Mechul,Mechul,0,1.5,1.5,35,30 36 28,40 14 03,30.60777778,40.23416667
3535,3535,BOLU,GOYNUK,SUNNETGOLU,Bolu,Goynuk,27,5,2013,18:30,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,26,30 58 22,40 26 15,30.97277778,40.4375
3536,3536,BOLU,GOYNUK,SUNNETGOLU,Bolu,Goynuk,26,9,2013,12:30,Mechul,Mechul,0.02,0,0.02,26,50 57 37,40 29 53,50.96027778,40.49805556
3537,3537,BOLU,GOYNUK,SUNNETGOLU,Bolu,Goynuk,9,10,2013,18:50,Mechul,Mechul,0.01,0,0.01,21,30 56 43,40 24 02,30.94527778,40.40055556
3538,3538,BOLU,GOYNUK,SUNNETGOLU,Bolu,Goynuk,11,7,2014,15:45,Kaza,Elektrik,0.3,0.1,0.4,35,30 59 36,40 24 21,30.99333333,40.40583333
3539,3539,BOLU,GOYNUK,SUNNETGOLU,Bolu,Goynuk,9,3,2016,12:30,Mechul,Mechul,0.5,0,0.5,32,31 02 54,40 24 21,31.04833333,40.40583333
3540,3540,BOLU,GOYNUK,SUNNETGOLU,Bolu,Goynuk,30,9,2016,17:05,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,27,30 58 11,40 23 26,30.96972222,40.39055556
3541,3541,BOLU,GOYNUK,SUNNETGOLU,Bolu,Goynuk,7,11,2016,14:00,Dogal Yildirim,Dogal/Yildirim,2,0,2,16,30 58 01,40 25 37,30.96694444,40.42694444
3542,3542,BOLU,KIBRISCIK,COKEREN,Bolu,Kibriscik,16,9,2013,17:00,Mechul,Mechul,0.05,0,0.05,27,31 57 13,40 23 40,31.95361111,40.39444444
3543,3543,BOLU,KIBRISCIK,COKEREN,Bolu,Kibriscik,20,8,2014,10:30,Ihmal Dikkatsizlik,Piknik Atesi,0,0,0,33,31 51 47,40 20 40,31.86305556,40.34444444
3544,3544,BOLU,KIBRISCIK,COKEREN,Bolu,Kibriscik,11,7,2016,18:20,Mechul,Mechul,0.01,0,0.01,26,31 55 50,40 21 21,31.93055556,40.35583333
3545,3545,BOLU,KIBRISCIK,COKEREN,Bolu,Kibriscik,17,9,2017,12:30,Mechul,Mechul,1,0,1,31,31 55 47,40 21 22,31.92972222,40.35611111
3546,3546,BOLU,KIBRISCIK,KIBRISCIK,Bolu,Kibriscik,26,8,2015,14:50,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,26,31 45 13,40 25 15,31.75361111,40.42083333
3547,3547,BOLU,KIBRISCIK,KIBRISCIK,Bolu,Kibriscik,24,7,2016,12:10,Mechul,Mechul,0,0,0,26,31 52 05,40 20 32,31.86805556,40.34222222
3548,3548,BOLU,KIBRISCIK,KIBRISCIK,Bolu,Kibriscik,21,8,2016,19:05,Mechul,Mechul,0,0,0,31,31 51 43,40 18 48,31.86194444,40.31333333
3549,3549,BOLU,KIBRISCIK,KIBRISCIK,Bolu,Kibriscik,5,4,2017,13:15,Mechul,Mechul,0.01,0,0.01,0,31 54 55,40 22 21,31.91527778,40.3725
3550,3550,BOLU,KIBRISCIK,YAYLA,Bolu,Kibriscik,1,8,2014,14:00,Kaza,Elektrik,2.9,0,2.9,29,31 44 15,40 27 01,31.7375,40.45027778
3551,3551,BOLU,KIBRISCIK,YAYLA,Bolu,Kibriscik,26,8,2015,17:30,Dogal Yildirim,Dogal/Yildirim,1,0,1,23,31 45 13,40 22 15,31.75361111,40.37083333
3552,3552,BOLU,KIBRISCIK,YAYLA,Bolu,Kibriscik,18,8,2016,07:30,Mechul,Mechul,0.1,0,0.1,33,31 46 09,40 29 26,31.76916667,40.49055556
3553,3553,BOLU,MENGEN,COSUR,Bolu,Mengen,27,4,2013,12:40,Kaza,Elektrik,1,0,1,0,45 36 16,42 47 56,45.60444444,42.79888889
3554,3554,BOLU,MENGEN,DAREN,Bolu,Mengen,25,8,2013,15:00,Mechul,Mechul,0.01,0,0.01,34,32 12 37,40 56 20,32.21027778,40.93888889
3555,3555,BOLU,MENGEN,DAREN,Bolu,Mengen,11,9,2013,12:30,Mechul,Mechul,0.1,0,0.1,32,32 17 15,40 57 16,32.2875,40.95444444
3556,3556,BOLU,MENGEN,DAREN,Bolu,Mengen,25,10,2013,13:00,Mechul,Mechul,5.1,0,5.1,21,32 18 27,40 59 24,32.3075,40.99
3557,3557,BOLU,MENGEN,DAREN,Bolu,Mengen,20,8,2017,18:50,Mechul,Mechul,0.03,0,0.03,0,32 09 21,40 56 15,32.15583333,40.9375
3558,3558,BOLU,MENGEN,GEYIKGOLU,Bolu,Mengen,9,9,2016,15:00,Kaza,Diger,1.2,0,1.2,30,32 15 54,40 55 26,32.265,40.92388889
3559,3559,BOLU,MENGEN,GOKCESU,Bolu,Mengen,19,9,2017,17:00,Dogal Yildirim,Dogal/Yildirim,0.04,0,0.04,0,40 52 46,31 53 01,40.87944444,31.88361111
3560,3560,BOLU,MENGEN,MENGEN,Bolu,Mengen,12,7,2017,20:10,Mechul,Mechul,0.01,0,0.01,0,31 17 18,40 32 15,31.28833333,40.5375
3561,3561,BOLU,MENGEN,YALAKKUZ,Bolu,Mengen,26,9,2013,14:00,Mechul,Mechul,0.02,0,0.02,25,32 22 37,40 59 37,32.37694444,40.99361111
3562,3562,BOLU,MUDURNU,ALMACIK,Bolu,Mudurnu,8,9,2013,14:30,Dogal Yildirim,Dogal/Yildirim,0.06,0,0.06,26,31 15 47,40 35 43,31.26305556,40.59527778
3563,3563,BOLU,MUDURNU,ALMACIK,Bolu,Mudurnu,11,9,2013,17:20,Dogal Yildirim,Dogal/Yildirim,0.04,0,0.04,24,31 15 51,40 35 41,31.26416667,40.59472222
3564,3564,BOLU,MUDURNU,ALMACIK,Bolu,Mudurnu,19,10,2016,14:00,Ihmal Dikkatsizlik,Aniz,0.06,0,0.06,29,31 17 01,40 52 27,31.28361111,40.87416667
3565,3565,BOLU,MUDURNU,GUVEYTEPE,Bolu,Mudurnu,17,8,2013,16:30,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,33,31 03 51,40 29 51,31.06416667,40.4975
3566,3566,BOLU,MUDURNU,GUVEYTEPE,Bolu,Mudurnu,26,9,2013,15:10,Mechul,Mechul,0.05,0,0.05,23,31 02 27,40 27 13,31.04083333,40.45361111
3567,3567,BOLU,MUDURNU,GUVEYTEPE,Bolu,Mudurnu,25,4,2014,16:00,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,20,31 06 05,40 29 41,31.10138889,40.49472222
3568,3568,BOLU,MUDURNU,GUVEYTEPE,Bolu,Mudurnu,13,6,2016,12:15,Mechul,Mechul,0.02,0,0.02,27,31 04 50,40 29 16,31.08055556,40.48777778
3569,3569,BOLU,MUDURNU,GUVEYTEPE,Bolu,Mudurnu,17,7,2016,12:30,Ihmal Dikkatsizlik,Aniz,0,2,2,27,31 11 36,40 27 49,31.19333333,40.46361111
3570,3570,BOLU,MUDURNU,GUVEYTEPE,Bolu,Mudurnu,8,8,2017,13:20,Ihmal Dikkatsizlik,Aniz,1,0,1,28,31 11 13,40 18 15,31.18694444,40.30416667
3571,3571,BOLU,MUDURNU,GUVEYTEPE,Bolu,Mudurnu,14,8,2017,19:20,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,28,31 04 09,40 29 16,31.06916667,40.48777778
3572,3572,BOLU,MUDURNU,GUVEYTEPE,Bolu,Mudurnu,19,8,2017,13:30,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,26,31 17 15,40 15 13,31.2875,40.25361111
3573,3573,BOLU,MUDURNU,SARPUNCUK,Bolu,Mudurnu,19,8,2013,13:30,Mechul,Mechul,0.3,0,0.3,38,31 22 39,40 34 07,31.3775,40.56861111
3574,3574,BOLU,MUDURNU,SARPUNCUK,Bolu,Mudurnu,20,9,2016,09:45,Dogal Yildirim,Dogal/Yildirim,0.1,0,0.1,27,40 31 40,31 26 28,40.52777778,31.44111111
3575,3575,BOLU,MUDURNU,SIRCALI,Bolu,Mudurnu,9,9,2014,20:05,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,29,31 20 17,40 25 53,31.33805556,40.43138889
3576,3576,BOLU,MUDURNU,SIRCALI,Bolu,Mudurnu,25,7,2016,20:20,Mechul,Mechul,0,0,0,27,31 12 40,40 28 02,31.21111111,40.46722222
3577,3577,BOLU,MUDURNU,TASKESTI,Bolu,Mudurnu,7,3,2013,12:50,Mechul,-,0.03,0,0.03,0,30 53 40,40 34 03,30.89444444,40.5675
3578,3578,BOLU,MUDURNU,TASKESTI,Bolu,Mudurnu,10,9,2013,16:50,Dogal Yildirim,Dogal/Yildirim,0.02,0,0.02,26,30 56 39,40 31 24,30.94416667,40.52333333
3579,3579,BOLU,MUDURNU,TASKESTI,Bolu,Mudurnu,13,9,2013,17:45,Dogal Yildirim,Dogal/Yildirim,0.01,0,0.01,24,30 56 42,40 31 26,30.945,40.52388889
3580,3580,BOLU,MUDURNU,TASKESTI,Bolu,Mudurnu,9,10,2013,22:20,Dogal Yildirim,Dogal/Yildirim,0.02,0,0.02,15,30 56 36,40 30 51,30.94333333,40.51416667
3581,3581,BOLU,MUDURNU,TASKESTI,Bolu,Mudurnu,20,2,2014,15:00,Mechul,Mechul,1,0,1,16,31 00 39,40 30 34,31.01083333,40.50944444
